RowID,Category,Confidence,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,sales,Sup_Qty,Amz_Qty,Qty_Ratio,Adjusted_Profit,Pack_Verdict,Key_Match_Evidence,Filter_Reason,is_exact_ean_strict,title_match
1,EXCLUDED,30,5053249248073,nan,B0D4N6R7YG,151 WHITE NO-DRIP GLOSS PAINT 300ML,"LG OLED48C45LA 48-Inch OLED Evo 4K UHD Smart TV, (Î±9 AI Processor Gen7, Dolby Atmos, Freeview Play and Amazon Alexa, 120Hz), Umber Brown [Model 2024]",2.484,848.0,595.636666666666,2.2734223918575,500,1.0,1.0,1.0,595.636666666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.20540540540540542
2,EXCLUDED,30,5033601010654,nan,B0F43JDYKX,EUROWRAP GIANT BIRTHDAY BADGE GIRL 3,"Motorola edge 60 fusion, Pantone Slipstream, Moto AI Smartphone, 50MP Sony LYTIA Camera, with Co2 offset",0.744,299.99,208.912916666666,1.78558048433048,100,1.0,1.0,1.0,208.912916666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.17142857142857143
3,EXCLUDED,30,5015302477202,717710483480,B0FGHZB8FM,LUXURY CUPCAKE 100 CASES,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",0.852,129.0,83.45,0.6623015873015871,50,1.0,1.0,1.0,83.45,1:1 Match,Weak evidence,Insufficient match evidence,False,0.11162790697674418
4,EXCLUDED,30,5050565845627,nan,B0DN6BWS36,I LOVE YOU BALLOON 40CM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",0.804,99.99,67.19625,0.550788934426229,50,1.0,1.0,1.0,67.19625,1:1 Match,Weak evidence,Insufficient match evidence,False,0.1414141414141414
5,EXCLUDED,30,5060082728921,705736912404,B0DN6BWS36,DLUX PEGS WITH SOFT RUBBER GRIP PLASTIC LARGE 12 PIECES,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",0.768,99.99,62.165,0.522394957983193,50,12.0,1.0,0.08333333333333333,62.869,SPLIT (1/12) - OK,Weak evidence,Insufficient match evidence,False,0.20869565217391303
6,EXCLUDED,30,5010353328800,5065018907005,B0D3M53JGG,MINKY CURVE SCOURER 2PC,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",1.524,132.99,82.135,0.451291208791208,100,1.0,1.0,1.0,82.135,1:1 Match,Weak evidence,Insufficient match evidence,False,0.026905829596412557
7,EXCLUDED,30,5060082727214,705736912404,B0DN6BWS36,STARWASH CLOTHES LINE 30M,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",1.008,99.99,61.965,0.44579136690647403,50,1.0,1.0,1.0,61.965,1:1 Match,Weak evidence,Insufficient match evidence,False,0.08
8,EXCLUDED,30,5022822226623,889328733407,B086ZJ8N2T,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",1.14,94.02,64.85,0.43233333333333307,500,1.0,1.0,1.0,64.85,1:1 Match,Weak evidence,Insufficient match evidence,False,0.1565217391304348
9,EXCLUDED,30,5012904079582,nan,B0FLXV5TG6,CHEF AID LANC PEELER PLASTIC HAND,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",0.852,81.98,54.3991666666666,0.43173941798941795,50,1.0,1.0,1.0,54.3991666666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.11659192825112108
10,EXCLUDED,30,6923456819818,nan,B0DK877SSC,ADORN PLACEMAT GOLD EMBOSSED 37CM ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,0.804,69.99,45.9462499999999,0.376608606557376,100,1.0,1.0,1.0,45.9462499999999,1:1 Match,Weak evidence,Insufficient match evidence,False,0.23076923076923078
