Row,Manual_Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier_EAN,Amazon_EAN,ASIN,SupplierPrice,NetProfit,RSU,Manual_Adjusted_Profit,Sales,Exclusion_Reason,Evidence
913,CONFIRMED_MATCH,95,"AMTECH POINTING TROWEL 150M(6"") WITH SOFT GRIP","Amtech G0230 150mm (6"") Pointing trowel with soft grip",5032759027644,-,B00ABJQTPU,1.71,0.63,1,0.63,50,,"Brand (Amtech), size (150mm/6""), feature (soft grip) all match exactly"
727,CONFIRMED_MATCH,90,GIFTMAKER CHRISTMAS NON WOVEN SANTA SACK SPECIAL DELIVERY,Giftmaker Collection Large Christmas Santa Sack Special Delivery Bag,5012128616778,-,B09HCS9QM2,2.28,1.04,1,1.04,100,,"Brand (Giftmaker), product (Santa Sack), feature (Special Delivery) all match"
1050,CONFIRMED_MATCH,85,HARRIS PUTTY KNIFE,Harris Seriously Good Putty Knife,5056287402902,-,B0815B7FBY,1.08,0.13,1,0.13,50,,"Brand (Harris), product (Putty Knife) match. Verify Seriously Good line."
725,CONFIRMED_MATCH,85,AMTECH SHARPENING STONE 2000,"Amtech E2300 300mm (12"") Cigar Sharpening Stone",5032759001675,-,B004TRT3K8,2.56,1.02,1,1.02,50,,"Brand (Amtech), product (Sharpening Stone) match. Model numbers related."
852,CONFIRMED_MATCH,80,DRAPER SPANNER SET METRIC COMBINATION,Draper 1 x Redline 68481 Metric Combination Spanner Set (11-Piece),5010559684793,5010559684816,B0114IPMS6,9.12,2.15,1,2.15,100,,"Brand (Draper), product type (Metric Combination Spanner Set) match. EANs similar. Verify piece count."
974,NEEDS_VERIFICATION,60,ELF ARRIVAL ENVELOPE OUTFIT,Christmas Naughty Elf Arrival Clothes - Plush Snowman Outfit,5050565795922,-,B09J3T86D8,1.65,0.37,1,0.37,50,Possible variant mismatch (envelope vs snowman),Same product category but different style names in titles
332,FALSE_MATCH,0,TIDYZ WHEELY BIN LINERS 5 BAGS 300L,Tidyz 30 Extra Large Wheelie Bin Liners Waste Rubbish Bags 300L,5025364005824,5025762919174,B07MGLHMWY,1.19,2.77,6,-3.18,500,PACK MISMATCH: Supplier 5 bags vs Amazon 30 bags. RSU=6. Profit turns negative.,"Titles explicitly show: Supplier '5 BAGS', Amazon '30' bags"
628,FALSE_MATCH,0,BACOFOIL EASY CUT KITCHEN FOIL REFILL 15M,"3 x Easy Cut Refill Kitchen Foil 300mm, 15m",5023139270705,9876553908060,B08TCDBQTC,2.85,2.9,3,-2.8,500,PACK MISMATCH: Amazon '3 x' = 3 rolls. RSU=3. Profit turns negative.,Amazon title starts with '3 x' indicating 3-pack
369,FALSE_MATCH,0,BACOFOIL ZIPPER BAGS ALL PURPOSE 12 PACK 1L,Bacofoil 3 x Zipper Small All Purpose Bags (45 Bags),5023139862917,-,B08FBJ59DR,1.42,2.93,3.75,-0.98,500,PACK MISMATCH: Supplier 12 bags vs Amazon 45 bags. RSU=3.75 (not clean multiple).,"Supplier '12 PACK', Amazon '45 Bags' = ambiguous pack math"
420,FALSE_MATCH,0,SOUDAL EXPANDING FOAM HAND HELD 150ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld (3),5411183131217,-,B07STZLCM6,2.28,5.47,15,-26.45,400,SIZE + PACK MISMATCH: Supplier 150ml single vs Amazon 750ml x 3. Completely different products.,"Supplier '150ML', Amazon '750ml' + '(3)' = 15x total volume difference"
618,FALSE_MATCH,0,SOUDAL EXPANDING FOAM HANDHELD 750ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld (3),5411183078956,-,B07STZLCM6,4.56,4.25,3,-4.87,400,PACK MISMATCH: Amazon '(3)' = 3-pack. RSU=3. Profit turns negative.,Web search confirms B07STZLCM6 is 3-pack of 750ml cans
752,FALSE_MATCH,0,MARIGOLD OUTDOOR GLOVES EXTRA LARGE,Marigold 2 x Extra Tough Outdoor Gloves - Single Pair (Extra Large),5010232988019,9790504074621,B08XWB7JW9,2.28,1.41,2,-0.87,200,PACK MISMATCH: Amazon '2 x' = 2 pairs. RSU=2. Profit turns negative.,Amazon title shows '2 x' = 2 pairs
771,FALSE_MATCH,0,DOFF CONCENTRATED MULTI PURPOSE FEED 1L,2 X Doff 1L Liquid Seaweed Concentrated Multi-Purpose Feed,5013655218435,-,B073TZKMK9,3.7,1.82,2,-1.88,50,PACK MISMATCH: Amazon '2 X' = 2 bottles. RSU=2. Profit turns negative.,Amazon title starts with '2 X' = 2-pack
418,FALSE_MATCH,0,GROSVENOR 55CM TROUGH BLACK,4 Black Gros Trough 55cm,5014348297157,-,B0723GK5V9,6.27,5.93,4,-12.88,50,PACK MISMATCH: Amazon '4' = 4-pack. RSU=4. Deeply unprofitable.,Amazon title starts with '4' = 4 troughs
900,FALSE_MATCH,0,ROLSON CLAW HAMMER FIBREGLASS 8OZ,Rolson 11201 8oz Stubby Claw Hammer,5029594103718,5029594112017,B00JITHXRM,2.85,0.86,1,0.86,300,DIFFERENT PRODUCT: Fibreglass (standard length) vs Stubby (compact hammer),Web research: Fibreglass ~270mm standard hammer. Stubby ~165mm compact hammer. Different products.
1080,FALSE_MATCH,0,STATUS 3WAY BASIC C/FREE SOCKET WHT 1PK,STATUS 2 Way Socket 2 USB Port Cable Free Socket,5022822194984,5022822207776,B08CVK7746,3.99,0.04,1,0.04,200,DIFFERENT PRODUCT: Supplier 3-way vs Amazon 2-way socket,"Supplier '3WAY', Amazon '2 Way' = different specifications"
1081,FALSE_MATCH,0,PRICE & KENSINGTON 2 CUP TEAPOT MATT NAVY,Price & Kensington Black 6 Cup Teapot,5010853210520,5010853110851,B0013IUIPA,7.41,0.05,1,0.05,100,DIFFERENT PRODUCT: Supplier 2-cup Navy vs Amazon 6-cup Black,Size (2 vs 6 cup) and color (navy vs black) both differ
751,FALSE_MATCH,0,ROUNDUP PATH WEEDKILLER RTU 1LTR 20% FREE,"Roundup Path Weedkiller, Ready to Use, Refill, 5 Litre",5017676016919,5017676016964,B01MYBH3SU,4.56,3.52,1,3.52,50,DIFFERENT SIZE: Supplier 1L vs Amazon 5L,"Supplier '1LTR', Amazon '5 Litre' = completely different sizes"
746,FALSE_MATCH,0,EVERBUILD BITUMEN TROWEL MASTIC 1 LITRE,"Everbuild 103 Premium Trowel Mastic, Stone, 6 kg",5029347009311,-,B0070U64RG,5.7,5.34,1,5.34,50,DIFFERENT SIZE + PRODUCT: Supplier 1L Bitumen vs Amazon 6kg Premium,Size (1L vs 6kg) and product line (Bitumen vs Premium) differ
437,FALSE_MATCH,0,BLUE CANYON TOILET BRUSH PLASTIC LACE BLACK,BGL Stainless Steel Standing Toilet Brush (Black),5056295703862,-,B07R41125W,2.28,7.4,1,7.4,100,DIFFERENT BRAND + MATERIAL: Blue Canyon Plastic vs BGL Stainless Steel,Brand (Blue Canyon vs BGL) and material (plastic vs stainless steel) both differ
138,FALSE_MATCH,0,PRIMA MULTI SHOWERHEAD CHROME,Lara Multi Spray Shower Head - Chrome,5038673230474,-,B00569FG1S,4.56,10.37,1,10.37,100,DIFFERENT BRAND: Prima (Prima Housewares) vs Lara (Triton Showers),Web research: Prima and Lara are different manufacturers
78,FALSE_MATCH,0,BRIGHT & HOMELY METAL WATERING CAN ROSE,Woodside Silver 9L Metal Garden Watering Can with Rose,5050796010788,5055864219438,B07WMYF37Z,7.41,10.53,1,10.53,50,DIFFERENT BRAND: Bright & Homely vs Woodside,"Different brands, EANs differ, capacity unspecified vs 9L"
925,FALSE_MATCH,0,PPS POCKET TISSUES 3PLY 10S PK10,"Handy Pocket 3ply Tissues, Packs of 10",5030481970238,5028635004045,B073H7GJ13,1.08,0.29,1,0.29,100,DIFFERENT BRAND: PPS vs Handy,"Different brands (PPS vs Handy), different EANs"
906,FALSE_MATCH,0,ULTRATAPE PICTURE FRAME TAPE 24MMX50M,Ultratape Picture Frame Tape 48mm x 33m,5027785817369,5027785811817,B073VPL2VQ,2.05,0.43,1,0.43,50,DIFFERENT SPECIFICATION: 24mm x 50m vs 48mm x 33m,Different width (24mm vs 48mm) and length (50m vs 33m)
