PriorityRank,Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason,SourceSection
1,NEEDS VERIFICATION,70,AMTECH RECHARGEABLE WORK LIGHT WITH MAGNETIC STAND 3W,"T-SUN Rechargeable LED Work Light with Metal Stand,4100Lumen Portable Magnetic Camping Light,10400Ah Battery,Job Site Lighting for Outdoor Barbecue Golf Fishing Indoor Workshop Garage",5032759051380,-,B0FGJ9JGSB,GBP 4.96,GBP 59.99,GBP 32.02,684.2%,100,1:1 Match,GBP 32.02,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
2,NEEDS VERIFICATION,70,"IMPERIAL DEEP DINNER PLATE BLUE 10""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",8694169938513,745606660523,B07SG6C3BR,GBP 1.91,GBP 45.23,GBP 23.61,1103.3%,50,Pack mismatch 1->2.00 (need 2 units),GBP 21.70,-,EAN mismatch (verify which barcode/variant applies); Verify unit-count/pack on Amazon listing,NEEDS VERIFICATION (count=429)
3,NEEDS VERIFICATION,70,PORCELAIN MUG 12OZ COLOURED,"vancasso SIMI Mugs Set, 12oz/360ml Porcelain Coffee Mug Set of 6, Bohemian Style Tea and Coffee Cups with Handle, Microwave & Dishwasher Safe, Suitable for All Kinds of Drinks",742288768073,-,B0FN3TVZVL,GBP 0.74,GBP 30.59,GBP 14.86,1270.2%,300,Pack mismatch 1->6.00 (need 6 units),GBP 11.14,Brand partial; Anchor=12oz,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
4,NEEDS VERIFICATION,70,FISHING ROD EXTENDABLE WITH FLOAT AND HOOKS,COMPLETE STARTER BEGINNER FISHING KIT SET & 10' ROD REEL FLOATS HOOKS SHOT & NET,5033849985301,-,B01N6WDNN8,GBP 4.37,GBP 34.99,GBP 18.18,434.0%,50,1:1 Match,GBP 18.18,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
5,NEEDS VERIFICATION,70,OVEN DISH STONEWARE 4 ASSORTED 90ML,"InveroÂ® 4x Set of Mini Stoneware Rectangular Coloured Small Oven to Table Baking Dish ideal for Lasagne, Pies, Casserole, Tapas and more",8721037370288,5056075652052,B074TJP5M3,GBP 1.03,GBP 24.99,GBP 12.32,874.1%,300,1:1 Match,GBP 12.32,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
6,NEEDS VERIFICATION,70,TRIPLY CASSEROLE STAINLESS STEEL 20CM,Stainless Steel Casserole Dish with Lid - Induction Hob Cooking Pots Set - Non Stick Dutch Oven - 20cm 2.7L & 24cm 4.3L (2 Pots + 2 Glass Lids) - by Nuovva,8906106597876,5060913008826,B0FDL5S7FC,GBP 16.46,GBP 59.99,GBP 20.85,146.1%,50,1:1 Match,GBP 20.85,Anchor=20cm; Shared tokens=4,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
7,NEEDS VERIFICATION,70,BBQ TURNER WITH WOOD HANDLE 43CM,"7 in 1 Multifunction BBQ Tool - Outdoor Grill Spatula, Stainless Steel, Wooden Handle - Best BBQ Gifts for Men",5015302420499,785691190925,B0B7KWWNFD,GBP 1.21,GBP 21.98,GBP 10.54,676.4%,600,1:1 Match,GBP 10.54,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
8,NEEDS VERIFICATION,70,GRIMALDI LA BELLA CASSEROLE POT WITH LID 24CM,"Nuovva Enamelled Cast Iron Dutch Oven Pot with Lid - 5 Quart Casserole Dish - Ceramic Dutch Oven for Bread Baking, Roasting, Braising & Stews - Oven Safe up to 500Â°F - 24cm Orange",5060923590717,5060913000158,B09KHJM848,GBP 11.54,GBP 42.99,GBP 14.04,138.1%,900,1:1 Match,GBP 14.04,Anchor=24cm; Shared tokens=4,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
9,HIGHLY LIKELY,85,"CHRISTMAS CRACKER 8 X 12.5"" PREMIUM GOLD FOLIAGE",Diamond 50 x 12'' Gold & Cream Stars Catering Christmas Crackers with Premium content + 50pcs of party photo booth props on sticks (C4481-2022),5015302170172,4897097960630,B0BCHSG3LN,GBP 9.20,GBP 29.90,GBP 6.31,76.7%,100,Split candidate (0.52),GBP 10.72,-,-,HIGHLY LIKELY - RECOMMENDED (count=65)
10,NEEDS VERIFICATION,70,THL 4 TIER VEGETABLE RACK ASSORTED,"Miyawell Fruit Vegetable Storage Basket Rack, 4 Tier Stackable Metal Wire Storage Baskets on Wheels, Fruit Vegetable Produce Basket Organizer Bins for Kitchen, Pantry, Bathroom Black",8697722501834,605660957369,B0936QF6C5,GBP 5.24,GBP 37.99,GBP 15.88,322.7%,50,1:1 Match,GBP 15.88,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
11,NEEDS VERIFICATION,70,RCR MELODIA BICCHIERI TUMBLER 24CL 6PC,"RCR Crystal Melodia Luxion 360 ml Tumbler & 230 ml High Ball Glasses, Cocktail, Short Whiskey Glasses, Made in Italy, Dishwasher Safe, for Newlyweds & New Homeowners, 12-Piece Set",8007815259359,5054061262513,B07F446GQD,GBP 12.43,GBP 34.99,GBP 7.66,70.2%,50,Split candidate (0.17),GBP 18.02,-,EAN mismatch (verify which barcode/variant applies); Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
12,NEEDS VERIFICATION,70,GRIMALDI MAXISTONE FRYING PAN 28CM,"Tri-Ply Stainless Steel Frying pan 28cm, Skillet 11inch, Induction Cooking Pan, Fast & Even Heat, Compatible with All Cooktops Up to 315â„ƒ",5060748076878,-,B0FL27L2T8,GBP 9.48,GBP 42.99,GBP 16.30,192.8%,100,1:1 Match,GBP 16.30,Anchor=28cm,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
13,NEEDS VERIFICATION,70,APOLLO CANDY THERMOMETER,"ThermoPro TP511 Digital Candy Thermometer with Pot Clip, Programmable Instant Read Food Meat Thermometer with 20cm Long Probe for Candy Sugar Jam Milk Smoker Baking Grilling Candle Liquid Oil",5026180093552,4897099884620,B0CSJTFLBW,GBP 2.09,GBP 27.19,GBP 12.57,548.8%,100,1:1 Match,GBP 12.57,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
14,HIGHLY LIKELY,85,"CHRISTMAS CRACKER 10 X 12"" SANTA AND FRIENDS","Aisszhao 6 Pack Christmas Party Crackers,Christmas Crackers with Santa's Friends Building Block Xmas Cracker,Luxury Xmas Family Cracker with Novelty Gifts Party Hats",5015302170288,-,B0DDCFRKB4,GBP 4.63,GBP 15.99,GBP 3.37,76.3%,500,Split candidate (0.05),GBP 7.77,-,-,HIGHLY LIKELY - RECOMMENDED (count=65)
15,HIGHLY LIKELY,85,HOBBY GRAND STORAGE BOX & LID 0.5LTR,Really Useful Box Plastic Storage 4 Litre Clear with 2 x Hobby Trays,8694064017993,-,B01M7V2PYL,GBP 0.88,GBP 15.49,GBP 5.73,447.5%,100,1:1 Match,GBP 5.73,-,-,HIGHLY LIKELY - RECOMMENDED (count=65)
16,NEEDS VERIFICATION,70,EXTRASTAR SOLAR SMART STRING LIGHT 15 CANDLE 6M WITH REMOTE,"3D Printer Enclosure with LED Light,Dustproof Tent Constant Temperature Protective Cover for Creality Ender 3 V3 SE/KE/Ender 3/Ender 3 Pro/Ender 3V2/Ender 3S1/Neo/Anycubic Elegoo, Medium",8435730660361,-,B0CDXCTQP1,GBP 11.16,GBP 39.99,GBP 16.07,163.1%,100,1:1 Match,GBP 16.07,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
17,NEEDS VERIFICATION,70,Water Dispenser for dogs,"Amazon Basics Dog and Cat Feeder Dispenser for Food and Water, Small, Pack of 2, Grey",5060226063598,-,B06ZZC83MG,GBP 1.48,GBP 23.03,GBP 12.12,681.1%,100,Pack mismatch 1->2.00 (need 2 units),GBP 10.65,-,Verify unit-count/pack on Amazon listing,NEEDS VERIFICATION (count=429)
18,HIGHLY LIKELY,85,SILVER METALLIC MAILERS PK3 120X215MM SIZE B,"Bubble Mailer 100 Pack, Metallic Foil Bubble Mailers, Waterproof Self Seal Adhesive Shipping Bags, Cushioning Padded Envelopes for Shipping, Mailing, Packaging, Bulk (Silver,120x165mm)",5061024360230,5061007791051,B0CKRWZHRN,GBP 1.05,GBP 13.77,GBP 5.92,415.0%,50,1:1 (3x1 vs 100x1),GBP 5.92,-,-,HIGHLY LIKELY - RECOMMENDED (count=65)
19,NEEDS VERIFICATION,70,AIR STORM SLING SHOT WITH 4 BALLS ASSORTED,#winning Air Shot Hovering Ball Foam Dart One Player Skill Shooting Blaster Game,5012866012962,-,B0FL7SG5TG,GBP 1.55,GBP 20.00,GBP 9.92,538.9%,500,1:1 Match,GBP 9.92,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
20,NEEDS VERIFICATION,70,CHEF AID SANTOKU KNIFE SOFT GRIP HANDLE,"MasterChef Knife Set with Block, 5 Kitchen Knives with Sharp Stainless Steel Blades (Chef, Paring, Utility, Carving, Bread) Soft Touch Easy Grip Handles & Universal Knife Holder, Earth Greys",5012904112753,-,B0D5HN7W14,GBP 2.81,GBP 24.49,GBP 12.05,416.9%,200,1:1 Match,GBP 12.05,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
21,NEEDS VERIFICATION,70,TERRACOTTA HALF POT 20CM,Green Thumbz Terracotta Plant Pots - 20cm x 2 Pack Large Terracotta Pots with Saucer and Drainage Hole - Flower Pots Outdoor or Indoor Use - Brown Clay Pot with Tray,5021346493092,-,B0FFHJKPF5,GBP 2.09,GBP 24.99,GBP 13.00,567.7%,50,Pack mismatch 1->2.00 (need 2 units),GBP 10.91,Anchor=20cm,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
22,NEEDS VERIFICATION,85,PAN AROMA COLOUR TEALIGHTS PURE COTTON PACK OF 12,"100% Pure Organic Beeswax tealights, set of 15 Handmade in Britain, BEE Zero Waste, eco-friendly tealight, pure beeswax organic cotton wick tea candles (With Metal cups)",5053249265216,-,B08HZ9GZ6K,GBP 1.30,GBP 19.99,GBP 10.48,642.8%,50,Pack mismatch 1->1.25 (need 2 units),GBP 10.15,-,Verify product identity/variant/pack on Amazon listing,NEEDS VERIFICATION (count=429)
23,NEEDS VERIFICATION,70,SUPER FAST CLOTHES AND SHIRT LAUNDRY FOLDER,"BoxLegend Clothes Folder T Shirt Folder Board Easy and Fast for Kid and Adult to Fold Clothes Organizer,Black",5060345240085,-,B077MKGHXN,GBP 0.67,GBP 16.99,GBP 7.37,663.8%,500,1:1 Match,GBP 7.37,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
24,NEEDS VERIFICATION,70,EOTIA FOOD CHOPPER 400ML,Quest Mini Food Processor / 400ml Capacity/Electric Fruit & Vegetable Chopper for Kitchen/Stainless Steel Dual Blade / 2 Speed Settings / 350W (31550),6923456815483,5025301315504,B0FMHLFTYX,GBP 2.15,GBP 24.99,GBP 11.38,486.1%,50,1:1 Match,GBP 11.38,Brand partial; Anchor=400ml,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
25,NEEDS VERIFICATION,70,HOBBY FLORIA LACE PRACTICAL BASKET MEDIUM,"Hobby Gift Sewing Box, Wood/Fabric, Embroidered Bee, Medium",8694064013285,5029784903364,B0933MHLG6,GBP 2.00,GBP 24.99,GBP 9.98,449.8%,400,1:1 Match,GBP 9.98,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
26,NEEDS VERIFICATION,70,REXONA ROLL ON INVISIBLE PURE WOMEN 50ML PK6,"NAD+ Supplements Pro 300 - Clinically Proven to Raise NAD+ Levels by 38% & Reverse 12 Years of NAD+ Loss in 60 Days. A+ BBB Rated Since 1988, Lab Tested 99.5% Pure, Shelf Stable (300mg, 30 Servings)",8717644322451,810159161138,B0DQ5GDC7R,GBP 7.78,GBP 27.67,GBP 8.42,119.7%,50,Split candidate (0.17),GBP 14.90,-,EAN mismatch (verify which barcode/variant applies); Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
27,NEEDS VERIFICATION,70,ARENA GLASS TUMBLERS 360ML 3PCE,"CRYSTALIA Premium Drinking Glasses Set of 6 Tall Glass Tumbler 360ml LEAD FREE Water Glasses, Heavy Base Highball Glass Water Tumblers, Cocktail, Milkshake, Milk, Iced Tea, Soda Glasses Juice Glasses",8964000624418,612508278739,B07P9G321R,GBP 1.57,GBP 25.96,GBP 11.01,592.1%,50,Pack mismatch 1->2.00 (need 2 units),GBP 9.44,Anchor=360ml,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
