RowID,SupplierTitle,AmazonTitle,EAN,AmazonEAN,ASIN,SupPrice,SellPrice,NetProfit,AdjProfit,ROI,Sales,SupPack,AmzPack,PackRatio,Similarity,SupBrand,AmzBrand,Category,Reason,FinalCategory
866,AIRWICK REED DIFFUSER MULLED WINE 33ML PK5,"Air Wick Essential Oils Reed Diffuser Air Freshener Mulled Wine Scent, 5 Bottles X 30 ml",5059001500861,5059001500861,B07WDRQ4J7,13.4279999999999,46.0,16.5533333333333,16.5533333333333,1.40999432140829,200,5,1,0.2,22.22222222222222,AIRWICK,AIR,VERIFIED,"Exact EAN match, Pack 5:1, £16.55 profit",VERIFIED_REC
1708,EVERREADY T8 4FT 36W TUBE LIGHT,Eveready T8 Tube 4ft 36w White 3500k,5050028016069,5050028016069,B005XKFN0O,2.988,18.99,8.00124999999999,8.00124999999999,2.63199013157894,50,1,1,1.0,44.44444444444444,EVERREADY,EVEREADY,VERIFIED,"Exact EAN match, Pack 1:1, £8.00 profit",VERIFIED_REC
923,MASON CASH MIXING BOWL CREAM 29CM,"Mason Cash Colour Mix Cream Mixing Bowl | 4 Litre Capacity | 29cm Earthenware Bowl with Classic Pattern Design | Lightweight & Dishwasher Safe | Ideal for Baking, Pastry, Dough, Cakes & Cookies",5010853235530,5010853235530,B01IFIJ91Y,7.656,24.99,5.11499999999999,5.11499999999999,0.7380952380952379,200,1,1,1.0,25.0,MASON,MASON,VERIFIED,"Exact EAN match, Pack 1:1, £5.11 profit",VERIFIED_REC
1759,PAN AROMA JAR CANDLE 85GM SALTED CARAMEL,"Pan Aroma Orange Decorative Holder & Scented Candle, Salted Caramel, 85G",5053249248356,5053249248356,B09KCLYC1D,1.08,9.99,2.725,2.725,1.87931034482758,50,1,1,1.0,21.428571428571427,PAN,PAN,VERIFIED,"Exact EAN match, Pack 1:1, £2.73 profit",VERIFIED_REC
881,AMTECH LED MINI TORCH,Amtech S1532 9 LED mini Torch,5032759031078,5032759031078,B003XKPUSQ,1.716,7.99,2.34833333333333,2.34833333333333,1.18602693602693,200,1,1,1.0,66.66666666666666,AMTECH,AMTECH,VERIFIED,"Exact EAN match, Pack 1:1, £2.35 profit",VERIFIED_REC
1834,PAN AROMA JAR CANDLE 85GM RED BERRY,"PAN AROMAÂ® RED Decorative Holder & Scented Candle, RED Berry, 85g",5053249248295,5053249248295,B09KCMWXQX,1.08,8.45,1.67166666666666,1.67166666666666,1.15287356321839,50,1,1,1.0,14.285714285714285,PAN,PAN,VERIFIED,"Exact EAN match, Pack 1:1, £1.67 profit",VERIFIED_REC
1343,PAN AROMA C TEA-LIGHTS 16PK APP&CIN,Pan Aroma 16 Tea Lights Apple & Cinnamon,5053249228174,5053249228174,B083XH692T,1.08,6.87,1.515,1.515,1.0448275862068899,100,1,1,1.0,18.181818181818183,PAN,PAN,VERIFIED,"Exact EAN match, Pack 1:1, £1.51 profit",VERIFIED_REC
2041,CHRISTMAS LAPTRAY  ROBINS,Cushioned Lap Tray - Christmas Robins Design,5010792542676,5010792542676,B0FMS875KH,9.204,16.99,1.40458333333333,1.40458333333333,0.170873884833738,50,1,1,1.0,28.57142857142857,CHRISTMAS,CUSHIONED,VERIFIED,"Exact EAN match, Pack 1:1, £1.40 profit",VERIFIED_REC
2034,GEL  LED CANDLE FESTIVE ROBIN,Macneil Christmas Robin LED Gel Candle,5010792542737,5010792542737,B0FQK17X7F,7.728,15.1,1.29583333333333,1.29583333333333,0.185383881735813,50,1,1,1.0,57.14285714285714,GEL,MACNEIL,VERIFIED,"Exact EAN match, Pack 1:1, £1.30 profit",VERIFIED_REC
508,HIGHLAND COW PLAQUE FRIENDS,Lesser & Pavey Love & Affection Highland Cow Wooden Plaque - Friends For Home Decor & Gift | Wooden and Acrylic Plaques For Home and Office | Ideal Signs & Plaque Birthday Gifts For Women & Men,5010792749549,5010792749549,B0DPQVJ4NW,6.588,14.99,1.24166666666666,1.24166666666666,0.205573951434878,400,1,1,1.0,19.047619047619047,HIGHLAND,LESSER,VERIFIED,"Exact EAN match, Pack 1:1, £1.24 profit",VERIFIED_REC
2027,HOUSE MATE STAINLESS STEEL CLEANER & POLISH,House Mate Stainless Steel Cleaner and Polisher 400ml (Pack of 1),5039295201040,5039295201040,B0111N9Z1O,3.888,10.43,0.791666666666665,0.791666666666665,0.208883025505716,50,1,1,1.0,50.0,HOUSE,HOUSE,VERIFIED,"Exact EAN match, Pack 1:1, £0.79 profit",VERIFIED_REC
1999,CARAFE .5LT GLASS,"Arcoroc ARC C0199 Carafon Vin Carafe, Glass, transparent, 580 ml",26102251102,26102251102,B0042FBWQ0,2.556,8.99,0.761666666666667,0.761666666666667,0.284203980099502,50,1,1,1.0,0.0,CARAFE,ARCOROC,VERIFIED,"Exact EAN match, Pack 1:1, £0.76 profit",VERIFIED_REC
317,TIDYZ DOGGY BAGS STRONG 50 PCS 30cm x 36cm,"Tidyz 200 x Extra Large Super Strong Doggy bags (4 x 50),Black",5025364001970,5025364001970,B06X9K7NR7,0.672,6.5,0.736666666666667,0.736666666666667,0.6636636636636629,500,50,4,0.08,33.33333333333333,TIDYZ,TIDYZ,VERIFIED,"Exact EAN match, Pack 50:4, £0.74 profit",VERIFIED_REC
2046,PRODEC CAULKER 12 INCH,"ProDec 12"" Flexible Caulker Blade for Fast, Efficient Application of Fillers and Caulk and Smoothing of Wallpaper",5019200117338,5019200117338,B008F7YP9C,4.572,9.63,0.684999999999999,0.684999999999999,0.15711009174311902,50,1,1,1.0,14.285714285714285,PRODEC,PRODEC,VERIFIED,"Exact EAN match, Pack 1:1, £0.68 profit",VERIFIED_REC
1012,ELLIOTT WINDOW SQUEEGE 20CM,"Elliott Multi-Purpose Window Squeegee perfect for streak free cleaning on Windows, shower screens, cars and mirrors, Aluminium frame housing a 20cm rubber squeegee with an ergonomic Grey Handle.",5013159300353,5013159300353,B00KB225MS,1.836,6.64,0.293333333333333,0.293333333333333,0.14102564102564,200,1,1,1.0,13.043478260869565,ELLIOTT,ELLIOTT,VERIFIED,"Exact EAN match, Pack 1:1, £0.29 profit",VERIFIED_REC
2065,THE BIG CHEESE QUICK CLICK MOUSE TRAP 2PK,"The Big Cheese Quick Click Mouse Trap - Twinpack, Kills Mice, Baited and Ready-To-Use, Easy Clean and Disposal, Plastic, Indoor and Outdoor Use, White",5036200121479,5036200121479,B077G5PTRK,2.22,7.79,0.271666666666667,0.271666666666667,0.113194444444444,50,1,1,1.0,30.0,THE,THE,VERIFIED,"Exact EAN match, Pack 1:1, £0.27 profit",VERIFIED_REC
2021,TALA COCKTAIL STICKS 200,"Tala Bamboo Cocktail Sticks, Ponted End Cocktails Sticks Perfect for Buffets, Canapes and Appetisers, Pack Off 200 Stick Each Measuring 8cm, Can Also be Used a dential/toothpicks",5012904061204,5012904061204,B00LZRJTEA,0.672,4.19,0.251666666666667,0.251666666666667,0.226726726726727,50,1,1,1.0,16.666666666666664,TALA,TALA,VERIFIED,"Exact EAN match, Pack 1:1, £0.25 profit",VERIFIED_REC
1529,ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,"Elliott 480ml Brown Glass Spray Bottle, Manufactured from Recycled Glass and featuring a locking trigger action spray Mechanism, Ideal for use for Cleaning, Watering Plants and many other uses",5013159004428,5013159004428,B099X92QGG,2.436,7.27,0.218333333333333,0.218333333333333,0.08462532299741589,100,1,1,1.0,8.0,ELLIOTTS,ELLIOTT,VERIFIED,"Exact EAN match, Pack 1:1, £0.22 profit",VERIFIED_REC
359,BLUE CANYON VECTOR SHOWER SPRAY,Blue Canyon Vector Double Tap Shower Spray| Bathroom Accessory| Premium Shower Attachment for Bath taps| Push-on-Fitting| Suitable for Round & Oval Taps| Shower Head for Bathroom| ~1.5 Meters| (White),5060187175750,5060187175750,B008F6946C,4.296,9.85,0.198333333333333,0.198333333333333,0.0480225988700564,500,1,1,1.0,17.391304347826086,BLUE,BLUE,VERIFIED,"Exact EAN match, Pack 1:1, £0.20 profit",VERIFIED_REC
1030,CHEF AID STRAINER DIAMETER 18CM,"Chef Aid 18cm Long Handled Metal Sieve, Kitchen Essential Tool and Ideal for Straining, draining, Washing and Wide Range of Foods, with a fine mesh for Ease of use",5012904004188,5012904004188,B000TAU3QW,1.944,6.4,0.0833333333333337,0.0833333333333337,0.0384024577572966,200,1,1,1.0,13.043478260869565,CHEF,CHEF,VERIFIED,"Exact EAN match, Pack 1:1, £0.08 profit",VERIFIED_REC
2096,MEMORIAL WATERPROOF GRAVESIDE LANTERN WITH ROBIN SOMEONE SPECIAL,Waterproof Robin Memorial Graveside Lantern with LED Candle (Someone Special),5055361761119,5055361761119,B096KRFC4W,6.948,13.99,0.0783333333333329,0.0783333333333329,0.0123554153522607,50,1,1,1.0,45.45454545454545,MEMORIAL,WATERPROOF,VERIFIED,"Exact EAN match, Pack 1:1, £0.08 profit",VERIFIED_REC
219,CHEF AID SHOT GLASSES ASSORTED 20PCE,"Chef Aid Multi-Coloured Plastic Shot Glasses, Pack of 20 Reusable 30ml Party Cups, Bright, Colourful Drinking Glasses for Shots, Cocktails and Celebrations",5012904148738,5012904148738,B00M36YPIM,1.752,6.9,0.0300000000000009,0.0300000000000009,0.0149253731343288,600,20,20,1.0,19.047619047619047,CHEF,CHEF,VERIFIED,"Exact EAN match, Pack 20:20, £0.03 profit",VERIFIED_REC
1554,FIRE UP NATURAL FIRELIGHTERS 28 PACK,"Fireglow Firelighters 24 Pack, White",5022704000013,5022704000013,B07YPPK4JY,0.912,4.49,0.0216666666666669,0.0216666666666669,0.016539440203562503,100,28,24,0.8571428571428571,10.0,FIRE,FIREGLOW,VERIFIED,"Exact EAN match, Pack 28:24, £0.02 profit",VERIFIED_REC
1034,GLASS WHISKEY DECANTER,alpina Whiskey Decanter and Caraf,8711252100531,8711252100531,B07JD22MJ2,2.352,8.29,0.0183333333333328,0.0183333333333328,0.00730411686586967,200,1,1,1.0,40.0,GLASS,ALPINA,VERIFIED,"Exact EAN match, Pack 1:1, £0.02 profit",VERIFIED_REC
853,BEAUTY VELCRO HAIR GRIP ROLLERS 7 PACK,42 pcs x 15mm Small Self Grip Hair Rollers Salon Hairdressing Curlers - By Beauty Care,5014749165598,5014749165598,B01MZARJ6G,0.54,6.99,1.595,-1.1050000000000002,1.595,200,7,42,6.0,22.22222222222222,BEAUTY,42,VERIFIED_FO,Exact EAN but pack 7→42 = £-1.11,VERIFIED_FO
