RowID	Verdict	Notes
191	INVALID	Supplier: cat litter 3LT; Amazon: World's Best cat litter 28lb lavender (brand/size mismatch)
369	NEEDS REVIEW	Supplier: rope knot ball; Amazon: rope ball toy but includes \"Giraffe\" variant (unclear same product)
391	NEEDS REVIEW	Amazon title explicitly \"10 X\"; supplier title lacks 10-pack indicator (pack mismatch risk)
392	INVALID	Supplier says \"BC\"; Amazon listing indicates \"SBC\" (cap type mismatch) + \"10 X\" pack
398	INVALID	Supplier: treat-dispensing rope/rubber dog toy; Amazon: \"Christmas Reindeer\" plush/rope (type/seasonal mismatch)
471	VALID	Exact EAN match + same product (Eveready T8 4ft 36W)
498	LIKELY VALID	Quest espresso machine titles align; Amazon EAN missing
503	NEEDS REVIEW	Amazon title \"6 x\"; supplier title not a 6-pack (pack mismatch risk)
520	NEEDS REVIEW	Supplier \"5 BAGS 300L\" vs Amazon \"30 ... 300L\" (pack/qty ambiguity)
544	INVALID	Supplier: rat killer refill; Amazon: electronic mouse killer trap device (product type mismatch)
563	LIKELY VALID	Supplier: Schott Zwiesel white wine glasses set of 2 407ml; Amazon: set of 2 408ml (minor spec diff, EAN mismatch)
658	INVALID	Supplier variant \"IN THE MEADOW DAFFODIL\" vs Amazon \"IN THE FOREST HEDGEHOG\" (design mismatch)
665	INVALID	Supplier \"PK25\"; Amazon \"100 Paper Cups\" (pack mismatch 25 vs 100)
698	NEEDS REVIEW	Supplier \"3 PACK\" vs Amazon \"4-Piece\" duck family (pack mismatch)
745	INVALID	Supplier: 3-way wall adaptor; Amazon: 4-way extension lead with 3m cord (product type mismatch)
754	NEEDS REVIEW	Both stockings but Amazon specifies \"Highland Cow\" variant; supplier says \"PLUSH FOIL\" (variant unclear)
810	NEEDS REVIEW	Supplier single jumbo rawhide bone; Amazon multipack \"8\" bones (pack mismatch risk)
814	INVALID	Supplier \"1 LTR\" foil containers vs Amazon \"9 x 9 inch\" trays (size/variant mismatch)
826	LIKELY VALID	Knitted hat with faux fur pom-pom titles align; Amazon EAN missing
861	LIKELY VALID	Doormat 60cm x 90cm titles align; Amazon EAN missing
875	VALID	Exact EAN match + same product (Amtech S1532 9 LED mini torch)
892	NEEDS REVIEW	Supplier includes \"WITH MASK\"; Amazon Heat Holders trapper hat (mask/brand uncertainty)
911	LIKELY VALID	Mason Cash owl mixing bowl 26cm matches; EAN mismatch but strong title alignment
914	INVALID	Supplier \"1 LTR\" foil containers vs Amazon \"9 x 9 inch\" trays (size/variant mismatch)
919	NEEDS REVIEW	Amazon states \"Set Of 2\" heart tins; supplier title doesn't confirm 2-pack (pack ambiguity)
927	LIKELY VALID	Superior foil containers 9x13 5-pack titles align; Amazon EAN missing
935	INVALID	Capacity mismatch: supplier \"50LTR\" vs Amazon \"300L\" + dimensions 230 x 143cm
944	NEEDS REVIEW	Amazon explicitly \"Multi-Pack x12\"; supplier sold each 1L (pack adjustment needed)
968	LIKELY VALID	Soudal expanding foam handheld 750ml titles align; Amazon EAN missing
995	LIKELY VALID	Spontex Quick Spray Duo mop titles align; EAN mismatch
1021	VALID	Exact EAN match + same product (scented pet bubbles/wands 2-pack)
1029	INVALID	Supplier \"4.5LTR\" foil containers vs Amazon 9x13 trays 5-pack (variant mismatch)
1077	LIKELY VALID	Rose Gold Happy Birthday banner 9ft titles align; EAN mismatch
1087	NEEDS REVIEW	Supplier pick-up tool; Amazon listing includes \"3 LED telescopic torch\" (feature mismatch)
1105	VALID	Exact EAN match + same product (Mason Cash Colour Mix Cream Mixing Bowl 29cm)
1109	LIKELY VALID	Coir welcome door mat 40x60cm matches (dimension order reversed); Amazon EAN missing
1128	LIKELY VALID	Igluu square glass containers pack of 3 volumes match; EAN mismatch
1129	LIKELY VALID	Igluu round glass containers pack of 3 volumes match; EAN mismatch
1136	LIKELY VALID	Giftmaker Santa sack special delivery titles align; Amazon EAN missing
1146	NEEDS REVIEW	Supplier generic UK travel adapter; Amazon explicitly \"India to UK\" adaptor (region variant unclear)
1149	LIKELY VALID	Silicone heat resistant pot holder vs silicone oven mitt/pinch cover (strong title match; EAN mismatch)
1151	LIKELY VALID	Paw Patrol Skye backpack titles align; EAN mismatch
1165	NEEDS REVIEW	Exact EAN match but pack mismatch: supplier \"50 PCS\" vs Amazon \"200 x (4 x 50)\"
1173	INVALID	Supplier \"1 LITRE\" trowel mastic vs Amazon \"6 kg\" (size mismatch)
1183	NEEDS REVIEW	Amazon indicates \"2 x\" gloves; supplier title lacks 2-pack indicator
1210	VALID	Exact EAN match + same product (Superior foil 10-pack 9x9)
1216	LIKELY VALID	Giftmaker santa sack titles align (basic vs large/special delivery text differs)
1219	NEEDS REVIEW	Amazon \"2 X\" multipack; supplier title single 1L (pack mismatch risk)
1237	INVALID	Length mismatch: supplier \"5M\" vs Amazon \"15 Metre\"
1298	NEEDS REVIEW	Amazon says \"Triple Pack\"; supplier title single (pack mismatch risk)
1347	LIKELY VALID	ExtraStar extension lead 6 gang 2m black titles align; EAN missing
1361	LIKELY VALID	Draper metric combination spanner set titles align; EAN mismatch
1374	INVALID	Scent + pack mismatch: supplier \"EUCALYPTUS\" vs Amazon \"Lemon Fresh\" + \"3 x\"
1382	VALID	Exact EAN match; numbers in Amazon title are dimensions (15 x 5.5 x 5.5 cm)
1383	INVALID	Supplier \"2 LTR\" foil containers vs Amazon \"9 x 9 inch\" trays (variant mismatch)
